POLY_ID,AREA,PERIMETER,PINYIN_NAM,DZM,NAME
1,449906210000.000000,5419939.500000,Heilongjiang,230000,黑龙江
2,1.63605000000e+012,7564929.500000,Xinjiang,650000,新疆
3,157271770000.000000,2291961.800000,Shanxi,140000,山西
4,50492383000.000000,1676469.800000,Ningxia,640000,宁夏
5,154238420000.000000,3389151.500000,Shandong,370000,山东
6,165069370000.000000,2786033.800000,Henan,410000,河南
7,100320890000.000000,2571351.000000,Jiangsu,320000,江苏
8,140951260000.000000,2677892.000000,Anhui,340000,安徽
9,186518000000.000000,3187039.800000,Hubei,420000,湖北
10,100943420000.000000,2620791.300000,Zhejiang,330000,浙江
11,166776730000.000000,2553609.300000,Jiangxi,360000,江西
12,211819710000.000000,3062457.800000,Hunan,430000,湖南
13,383733920000.000000,5602845.000000,Yunnan,530000,云南
14,175686390000.000000,3111640.800000,Guizhou,520000,贵州
15,122237100000.000000,3494070.800000,Fujian,350000,福建
16,235149200000.000000,3667453.000000,Guangxi,450000,广西
17,176048820000.000000,4808799.500000,Guangdong,440000,广东
18,191775640000.000000,3445543.800000,Jilin,220000,吉林
19,145014900000.000000,3017080.300000,Liaoning,210000,辽宁
20,11660963000.000000,672338.310000,Tianjin,120000,天津
21,717153110000.000000,5520274.000000,Qinghai,630000,青海
22,404372910000.000000,7063748.500000,gansu,620000,甘肃
23,206038370000.000000,3568274.800000,Shaanxi,610000,陕西
24,1.14732000000e+012,11143178.000000,Neimenggu,150000,内蒙古
25,8412664.000000,8412664.000000,chongqing,500000,重庆
26,185587990000.000000,4000605.500000,Hebei,130000,河北
27,5255601700.000000,318625.060000,Shanghai,310000,上海
28,16345560000.000000,764100.900000,Beijing,110000,北京
29,563542750000.000000,6228061.500000,Sichuan,510000,四川
