province,地区生产总值,出口额,进口额,规上重工业产值,规上轻工业产值,规上工业总产值,国有工业总产值
北京,16251.93,31625212,97675374,12286.46,2227.16,14513.63,8176.38
天津,11307.28,45066746,66613136,17242.09,3620.66,20862.74,8345.35
河北,24515.76,35851701,48298533,31781.31,7917.48,39698.8,10702.93
山西,11237.55,7684748,8537514,15130.09,883.73,16013.83,8207.82
内蒙古,14359.88,6044969,8778427,14386.39,3388.43,17774.82,6116.42
辽宁,22226.7,51142152,61809285,33634.4,8142.34,41776.73,12420.83
吉林,10568.83,5433918,17618194,12259.54,4658.07,16917.61,7007.86
黑龙江,12582,9246685,16915034,8388.73,3125.84,11514.56,6483.92
上海,19195.69,198529115,234620356,25656.99,6788.15,32445.15,12256.44
江苏,49110.27,324438965,256805045,80144.61,27536.07,107680.68,11720.59
浙江,32318.85,239007397,112399273,34439.23,21971.25,56410.48,8133.34
安徽,15300.65,15729741,14600838,17743.42,8132.45,25875.87,8378.91
福建,17560.18,80716603,53857607,15124.79,12319.11,27443.9,3229.13
江西,11702.82,16649591,11340677,12738.86,5210.53,17949.38,4146.96
山东,45361.85,134492496,150063290,68641.84,30863.13,99504.98,19453.71
河南,26931.03,21672548,13915050,32509.42,14346.73,46856.14,10311.32
湖北,19632.26,19078254,14671443,19736.31,8336.77,28073.07,10512.22
湖南,19669.56,10969476,9133557,19099.91,7286.67,26386.58,6705.87
广东,53210.28,563216000,443577963,58781.33,36079.47,94860.79,13916.37
广西,11720.87,8590643,23730507,9228.56,3608.01,12836.57,4397.05
海南,2522.66,2233096,11215951,1235.28,364.84,1600.13,320.63
重庆,10011.37,14956910,9522639,8477.37,3369.69,11847.06,3899.05
四川,21026.68,21633582,18478032,20369.14,10115.95,30485.09,7759.56
贵州,5701.84,2634109,2285451,4337.14,1182.81,5519.96,2940.9
云南,8893.12,6208742,6048526,5667.51,2113.32,7780.83,4416.64
西藏,605.83,945460,156642,48.91,25.95,74.85,47.5
陕西,12512.3,6768175,7315306,12180.29,2103.19,14283.48,8797.96
甘肃,5020.37,1569859,6257596,5506.14,669.1,6175.24,4923.92
青海,1670.44,339534,422148,1748.32,145.22,1893.54,1104.2
宁夏,2102.21,2013056,796155,2125.3,366.15,2491.44,1276.73
新疆,6610.05,13891405,16024011,5919.33,801.51,6720.85,4925.74
